title,authors,date,arxiv,arxiv doi,journal,journal doi,permalink
Universal entanglement signatures of quantum liquids as a guide to fermionic criticality,"Siddhartha Patra,A. Mukherjee,S. Lal",23 May 2022,arxiv:2205.11123,https://arxiv.org/pdf/2205.11123.pdf,,
Frustration shapes multi-channel Kondo physics: a star graph perspective,"Siddhartha Patra,Abhirup Mukherjee,A. Mukherjee,N. Vidhyadhiraja,A. Taraphder,S. Lal",2 May 2022,arxiv:2205.00790,https://arxiv.org/pdf/2205.00790.pdf,,
Graph Polynomial for Colored Embedded Graphs: A Topological Approach,"S. Basu,Dhruv Bhasin,S. Lal,Siddhartha Patra",29 April 2022,arxiv:2204.13876,https://arxiv.org/pdf/2204.13876.pdf,,
Superconductivity from repulsion in the doped 2D electronic Hubbard model: an entanglement perspective,"A. Mukherjee,S. Lal",12 April 2022,arxiv:2003.06118,http://arxiv.org/pdf/2003.06118,Journal of Physics: Condensed Matter,https://doi.org/10.1088/1361-648X%2Fac66b3
Unveiling topological order through multipartite entanglement,"Siddhartha Patra,S. Basu,S. Lal",4 December 2021,,,Physical Review A,https://doi.org/10.1103/PhysRevA.105.052428
Unveiling the Kondo cloud: Unitary renormalization-group study of the Kondo model,"A. Mukherjee,Abhirup Mukherjee,N. Vidhyadhiraja,A. Taraphder,S. Lal",20 November 2021,arxiv:2111.10580,https://arxiv.org/pdf/2111.10580.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.105.085119
Origin of topological order in a Cooper-pair insulator,"Siddhartha Patra,S. Lal",24 February 2021,arxiv:2102.12193,https://arxiv.org/pdf/2102.12193.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.104.144514
Fermionic criticality is shaped by Fermi surface topology: a case study of the Tomonaga-Luttinger liquid,"A. Mukherjee,Siddhartha Patra,S. Lal",5 May 2020,,,Journal of High Energy Physics,https://doi.org/10.1007/JHEP04%282021%29148
Criticality Aware Orderer for Heterogeneous Transactions in Blockchain,"Umang Goel,Rahul Sonanis,Ishan Rastogi,S. Lal,Aloknath De",1 May 2020,,,2020 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),https://doi.org/10.1109/ICBC48266.2020.9169439
Holographic unitary renormalization group for correlated electrons - II: Insights on fermionic criticality,"A. Mukherjee,S. Lal",15 April 2020,arxiv:2004.06900,https://arxiv.org/pdf/2004.06900.pdf,Nuclear Physics B,https://doi.org/10.1016/j.nuclphysb.2020.115163
Holographic unitary renormalization group for correlated electrons - I: A tensor network approach,"A. Mukherjee,S. Lal",15 April 2020,arxiv:2004.06897,https://arxiv.org/pdf/2004.06897.pdf,Nuclear Physics B,https://doi.org/10.1016/j.nuclphysb.2020.115170
Scaling theory for Mott–Hubbard transitions-II: quantum criticality of the doped Mott insulator,"A. Mukherjee,S. Lal",14 April 2020,,,New Journal of Physics,https://doi.org/10.1088/1367-2630%2Fab890c
Holographic entanglement renormalisation of topological order in a quantum liquid,"A. Mukherjee,S. Lal",13 March 2020,arxiv:2003.06118,https://arxiv.org/pdf/2003.06118.pdf,arXiv: Strongly Correlated Electrons,https://doi.org/10.1088/1361-648X%2Fac66b3
Topological approach to quantum liquid ground states on geometrically frustrated Heisenberg antiferromagnets,"S. Pal,A. Mukherjee,S. Lal",9 October 2018,arxiv:1810.03935,http://arxiv.org/pdf/1810.03935,Journal of Physics: Condensed Matter,https://doi.org/10.1088/1361-648X%2Fab670f
Scaling theory for Mott–Hubbard transitions: I. T = 0 phase diagram of the 1/2-filled Hubbard model,"A. Mukherjee,S. Lal",1 February 2018,,,New Journal of Physics,https://doi.org/10.1088/1367-2630%2Fab8831
Magnetization plateaus of the quantum pyrochlore Heisenberg antiferromagnet,"S. Pal,S. Lal",18 February 2019,arxiv:1902.06475,https://arxiv.org/pdf/1902.06475.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.100.104421
Correlated spin liquids in the quantum kagome antiferromagnet at finite field: a renormalization group analysis,"S. Pal,A. Mukherjee,S. Lal",13 November 2018,,,New Journal of Physics,https://doi.org/10.1088/1367-2630%2Fab05ff
Orbital and spin ordering physics of the Mn3O4 spinel,"S. Pal,S. Lal",20 April 2017,arxiv:1704.06026,https://arxiv.org/pdf/1704.06026.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.96.075139
Topological transitions in Ising models,"Somenath Jalal,Rishabh Khare,S. Lal",31 October 2016,arxiv:1610.09845,https://arxiv.org/pdf/1610.09845.pdf,arXiv: Statistical Mechanics,
Emergent Hall phases at quantum phase transitions with accompanying changes in Fermi surface topology,"N. Mohanta,S. Bandopadhyay,S. Lal,A. Taraphder",24 July 2014,,,,
Emergent Spin Hall phase at a Lifshitz transition from competing orders,"N. Mohanta,S. Bandopadhyay,S. Lal,A. Taraphder",24 July 2014,arxiv:1407.6539,https://arxiv.org/pdf/1407.6539.pdf,,
Inelastic Light Scattering Measurements of a Pressure-Induced Quantum Liquid in KCuF _ { 3 },"S. Yuan,M. Kim,S. Cooper",2014,,,,
Charge fractionalization in a mesoscopic ring.,"W. DeGottardi,S. Lal,S. Vishveshwara",19 March 2010,,,Physical review letters,https://doi.org/10.1103/PhysRevLett.110.026402
Evidence for pressure-tuned quantum structural fluctuations in KCuF$_{3}$,"S. Yuan,Minjung Kim,J. Seeley,S. Lal,P. Abbamonte,S. Cooper",2 March 2012,,,Bulletin of the American Physical Society,
Two-stage orbital order and dynamical spin frustration in KCuF 3,"J. C. Lee,S. Yuan,P. Abbamonte",2 March 2012,,,Nature Physics,https://doi.org/10.1038/NPHYS2117
Inelastic light scattering measurements of a pressure-induced quantum liquid in KCuF3.,"S. Yuan,M. Kim,S. Cooper",7 July 2011,,,Physical review letters,https://doi.org/10.1103/PhysRevLett.109.217402
Inelastic Light Scattering Measurements of a Pressure-Induced Quantum Liquid in KCuF,"S. Yuan,M. Kim,S. Cooper",2012,,,,
"Abstract Submitted for the MAR10 Meeting of The American Physical Society Charge Fractionalization in a Mesoscopic Ring WADE DEGOT- TARDI,",S. Lal,2012,,,,
Evidence for a pressure-induced quantum liquid in KCuF$_3$,"S. Yuan,Minjung Kim,J. Seeley,S. Lal,P. Abbamonte,S. Cooper",7 July 2011,,,,
Transport through Andreev bound states in a graphene quantum dot,"T. Dirks,T. Hughes,N. Mason",16 May 2010,arxiv:1005.2749,https://arxiv.org/pdf/1005.2749.pdf,Nature Physics,https://doi.org/10.1038/nphys1911
Charge-density wave and superconductor competition in stripe phases of high-temperature superconductors,"Akbar Jaefari,S. Lal,E. Fradkin",13 July 2010,arxiv:1007.2187,https://arxiv.org/pdf/1007.2187.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.82.144531
Andreev Bound State Spectroscopy in a Graphene Quantum Dot,"T. Dirks,T. Hughes,N. Mason",16 May 2010,,,,
Spectroscopy measurements of superconductor-graphene-normal metal junctions,"T. Dirks,Yung-fu Chen,N. Mason",17 March 2010,,,Bulletin of the American Physical Society,
Low-temperature orbital ordering and dynamical frustration of spins in KCuF$_{3 }$: Theoretical model,"S. Lal,J. C. Lee,A. Rusydi",17 March 2010,,,Bulletin of the American Physical Society,
Low-temperature orbital ordering and dynamical frustration of spins in KCuF$_3$: Experimental,"J. C. Lee,S. Yuan,A. Rusydi",17 March 2010,,,Bulletin of the American Physical Society,
Charge and Superconducting Order in Stripe Phases,"Akbar Jaefari,S. Lal,E. Fradkin",15 March 2010,,,,
Approaching multichannel Kondo physics using correlated bosons: Quantum phases and how to realize them,"S. Lal,S. Gopalakrishnan,P. Goldbart",8 October 2009,arxiv:0910.1579,https://arxiv.org/pdf/0910.1579.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.81.245314
A SURVEY OF PEER-TO-PEER MICROPAYMENT SCHEMES,"Mohit Jain,S. Lal,A. Mathuria",2010,,,,
Two-step stabilization of orbital order and the dynamical frustration of spin in the model charge-transfer insulator KCuF3,"James C. T. Lee,S. Yuan,P. Abbamonte",3 November 2009,arxiv:0911.0619,https://arxiv.org/pdf/0911.0619.pdf,arXiv: Strongly Correlated Electrons,https://doi.org/10.1038/NPHYS2117
Phase Diagrams for Stripe Phases with a Spin gap,"Akbar Jaefari,S. Lal,E. Fradkin",19 March 2009,,,,
Ordering and Frustration in a Strongly Correlated Chain system,"S. Lal,M. Laad",17 March 2009,,,,
Transport through constricted quantum Hall edge systems: Beyond the quantum point contact,S. Lal,20 September 2007,arxiv:0709.3164,https://arxiv.org/pdf/0709.3164.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.77.035331
From frustrated insulators to correlated anisotropic metals: charge-ordering and quantum criticality in coupled chain systems,"S. Lal,M. Laad",16 August 2007,arxiv:0708.2159,http://arxiv.org/pdf/0708.2159,Journal of Physics: Condensed Matter,https://doi.org/10.1088/0953-8984%2F20%2F23%2F235213
Ju n 20 02 Junction of several weakly interacting quantum wires : a renormalization group study,"S. Lal,Sumathi Rao,D. Sen",2008,,,,
Fe b 19 99 Magnetization properties of some quantum spin ladders,"K. Tandon,S. Lal,S. Pati,S. Ramasesha,D. Sen",2008,,,,
ORDERING FROM FRUSTRATION IN A STRONGLY CORRELATED ONE-DIMENSIONAL SYSTEM,"S. Lal,M. Laad",16 August 2007,arxiv:0708.2156,https://arxiv.org/pdf/0708.2156.pdf,International Journal of Modern Physics B,https://doi.org/10.1142/S0217979209053254
BOUNDARY CRITICAL PHENOMENA AND A QUASIPARTICLE-QUASIHOLE SYMMETRIC METAL-INSULATOR TRANSITION IN A CONSTRICTED QUANTUM HALL CIRCUIT,"S. Lal,A. Salam",2007,,,,
THE SEARCH FOR COMPETING CHARGE ORDERS IN FRUSTRATED LADDER SYSTEMS,"S. Lal,A. Salam,M. Laad",2007,,,,
BOSONS ON THE LATTICE: A NEW APPROACH FOR CONNECTED TOMONAGA-LUTTINGER LIQUID SYSTEMS,"S. Lal,A. Salam",2007,,,,
A CONSTRICTED QUANTUM HALL SYSTEM AS A BEAM-SPLITTER: UNDERSTANDING BALLISTIC TRANSPORT ON THE EDGE,"S. Lal,A. Salam",2007,,,,
Charge ordering in quasi-one-dimensional systems with frustrating interactions,"S. Lal,M. Laad",18 November 2005,arxiv:0511458,https://arxiv.org/pdf/cond-mat/0511458.pdf,arXiv: Strongly Correlated Electrons,
On charge and spin ordering in a one-dimensional model with frustrating interactions,"M. Laad,S. Lal",1 October 2005,arxiv:0510016,https://arxiv.org/pdf/cond-mat/0510016.pdf,arXiv: Strongly Correlated Electrons,
81 13 30 v 1 2 4 N ov 1 99 8 One-dimensional fermions with incommensurate hopping close to dimerization,"D. Sen,S. Lal",2004,,,,
Junction of several weakly interacting quantum wires: A renormalization group study,"S. Lal,Sumathi Rao,Allahabad",14 June 2002,arxiv:0206259,https://arxiv.org/pdf/cond-mat/0206259.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.66.165327
Transport in quantum wires,"S. Lal,Sumathi Rao,D. Sen",6 June 2001,arxiv:0106111,http://arxiv.org/pdf/cond-mat/0106111,Pramana,https://doi.org/10.1007/s12043-002-0007-z
Conductance through contact barriers of a finite-length quantum wire,"S. Lal,Sumathi Rao,Diptiman Sen IISc,Bangalore,Hri,Allahabad",21 April 2001,arxiv:0104402,https://arxiv.org/pdf/cond-mat/0104402.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.65.195304
Electron transport through ballistic quantum channels,"S. Lal,Sumathi Rao,D. Sen",22 October 2001,,,Applied Surface Science,https://doi.org/10.1016/S0169-4332%2801%2900452-4
Transport through Quasiballistic Quantum Wires: The Role of Contacts,"S. Lal,Sumathi Rao,Diptiman Sen IISc,Bangalore,Hri,Allahabad",7 December 2000,arxiv:0012097,https://arxiv.org/pdf/cond-mat/0012097.pdf,Physical Review Letters,https://doi.org/10.1103/PhysRevLett.87.026801
J un 2 00 1 Transport in Quantum Wires,"S. Lal,Sumathi Rao,D. Sen",2001,,,,
One-dimensional fermions with incommensuration,"D. Sen,S. Lal",12 May 1999,arxiv:9905165,https://arxiv.org/pdf/cond-mat/9905165.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.61.9001
One-dimensional fermions with incommensuration close to dimerization,"D. Sen,S. Lal",24 November 1998,arxiv:9811330,https://arxiv.org/pdf/cond-mat/9811330.pdf,EPL,https://doi.org/10.1209/epl%2Fi2000-00444-0
Magnetization properties of some quantum spin ladders,"K. Tandon,S. Lal,S. Pati,S. Ramasesha,D. Sen",9 June 1998,arxiv:9806111,https://arxiv.org/pdf/cond-mat/9806111.pdf,Physical Review B,https://doi.org/10.1103/PhysRevB.59.396
Conidial production in Helminthosporium gramineum Rabh. in culture.,"P. Pillai,S. Lal,D. Suryanarayana",1980,,,Current Science,
